"skill_id","skills","demand_count","avg_salary_per_skill"
8,"go","27","115319.89"
234,"confluence","11","114209.91"
97,"hadoop","22","113192.57"
80,"snowflake","37","112947.97"
74,"azure","34","111225.10"
77,"bigquery","13","109653.85"
76,"aws","32","108317.30"
4,"java","17","106906.44"
194,"ssis","12","106683.33"
233,"jira","20","104917.90"
79,"oracle","37","104533.70"
185,"looker","49","103795.30"
2,"nosql","13","101413.73"
1,"python","236","101397.22"
5,"r","148","100498.77"
78,"redshift","16","99936.44"
187,"qlik","13","99630.81"
182,"tableau","230","99287.65"
197,"ssrs","14","99171.43"
92,"spark","13","99076.92"
13,"c++","11","98958.23"
7,"sas","63","98902.37"
186,"sas","63","98902.37"
61,"sql server","35","97785.73"
9,"javascript","20","97587.00"
