"skills","avg_salary_per_skill"
"svn","400000.00"
"solidity","179000.00"
"couchbase","160515.00"
"datarobot","155485.50"
"golang","155000.00"
"mxnet","149000.00"
"dplyr","147633.33"
"vmware","147500.00"
"terraform","146733.83"
"twilio","138500.00"
"gitlab","134126.00"
"kafka","129999.16"
"puppet","129820.00"
"keras","127013.33"
"pytorch","125226.20"
"perl","124685.75"
"ansible","124370.00"
"hugging face","123950.00"
"tensorflow","120646.83"
"cassandra","118406.68"
"notion","118091.67"
"atlassian","117965.60"
"bitbucket","116711.75"
"airflow","116387.26"
"scala","115479.53"
